Wall time,Step,Value
1657971447.9208035,60,0.8303809762001038
1657971468.8785284,61,0.8478095531463623
1657971489.874655,62,0.8604761958122253
1657971510.8695996,63,0.8706666827201843
1657971531.908582,64,0.8813333511352539
1657971552.9982462,65,0.8837142586708069
1657971574.069482,66,0.890666663646698
1657971595.1503754,67,0.8971428275108337
1657971616.3324995,68,0.9041904807090759
1657971637.5412548,69,0.9062857031822205
1657971658.7521687,70,0.9138095378875732
1657971680.0093756,71,0.9182857275009155
1657971701.26145,72,0.9243809580802917
1657971722.5484934,73,0.930571436882019
1657971743.8656917,74,0.9358095526695251
1657971765.2338269,75,0.9375237822532654
1657971786.5689805,76,0.940666675567627
1657971807.9230962,77,0.9498095512390137
1657971829.2734737,78,0.948285698890686
1657971850.6363802,79,0.9571428298950195
