Wall time,Step,Value
1657883991.3835194,0,0.3148285746574402
1657884050.0758307,1,0.40685713291168213
1657884108.935912,2,0.43465715646743774
1657884167.8674827,3,0.4552285671234131
1657884226.8104584,4,0.4706857204437256
1657884285.9835823,5,0.4861142933368683
1657884345.9026291,6,0.48974284529685974
1657884405.5576344,7,0.49882856011390686
1657884465.313122,8,0.5048285722732544
1657884524.9711976,9,0.5077142715454102
1657884584.4653552,10,0.5172285437583923
1657884644.0686831,11,0.5283428430557251
1657884703.74302,12,0.5238000154495239
1657884763.6065507,13,0.5332000255584717
1657884823.8110466,14,0.5419142842292786
1657884884.037581,15,0.5496000051498413
1657884943.7690198,16,0.5557714104652405
1657885003.0897367,17,0.5647714138031006
1657885062.4426186,18,0.5720000267028809
1657885121.9780014,19,0.571399986743927
1657885181.8567934,20,0.5857428312301636
1657885241.2239316,21,0.5898571610450745
1657885300.6266818,22,0.5903428792953491
1657885359.7579963,23,0.6010000109672546
1657885418.9593222,24,0.6056285500526428
1657885477.9629395,25,0.6115999817848206
1657885537.4014895,26,0.6177714467048645
1657885596.2121775,27,0.623457133769989
1657885655.105091,28,0.6310285925865173
1657885713.83634,29,0.6367428302764893
1657885772.3261502,30,0.6432285904884338
1657885830.7731245,31,0.6503714323043823
1657885889.200852,32,0.6554856896400452
1657885947.9024353,33,0.6630285978317261
1657886007.0301886,34,0.6670571565628052
1657886065.9232156,35,0.6732285618782043
1657886125.221762,36,0.678428590297699
1657886184.2956464,37,0.6862285733222961
1657886243.407043,38,0.6886571645736694
1657886302.574991,39,0.6970857381820679
1657886361.889927,40,0.7017428278923035
1657886421.0924616,41,0.7080000042915344
1657886480.447938,42,0.7137143015861511
1657886539.9462714,43,0.7202571630477905
1657886599.5083737,44,0.7281428575515747
1657886659.0504394,45,0.7352856993675232
1657886718.8122485,46,0.7392857074737549
1657886778.528919,47,0.7455999851226807
1657886838.1911938,48,0.7500285506248474
1657886897.9182734,49,0.7580857276916504
1657886957.6079373,50,0.7630857229232788
1657887017.3915827,51,0.7680000066757202
1657887077.3086703,52,0.7747714519500732
1657887137.1933596,53,0.7800857424736023
1657887196.8567762,54,0.7853428721427917
1657887256.6577759,55,0.7909142971038818
1657887316.466853,56,0.7970286011695862
1657887376.315727,57,0.8022571206092834
1657887436.1948864,58,0.8110285997390747
1657887496.1163294,59,0.8149142861366272
1657887555.9530258,60,0.8216857314109802
1657887614.6527932,61,0.8219714164733887
1657887673.2974305,62,0.8289714455604553
1657887731.8515224,63,0.8353142738342285
1657887790.4433079,64,0.8412857055664062
1657887849.003874,65,0.8466857075691223
1657887907.5810158,66,0.8515999913215637
1657887966.0829468,67,0.8554571270942688
1657888024.6153128,68,0.8586571216583252
1657888083.1537218,69,0.8640857338905334
1657888141.702941,70,0.8690571188926697
1657888200.14362,71,0.8758571147918701
1657888258.487425,72,0.8808857202529907
1657888316.838604,73,0.8865143060684204
1657888375.1513724,74,0.8865143060684204
1657888433.506592,75,0.8938000202178955
1657888491.7619696,76,0.8992857336997986
1657888550.881499,77,0.902657151222229
1657888610.1087637,78,0.9047999978065491
1657888669.3845887,79,0.9103142619132996
1657888728.8327425,80,0.9144856929779053
1657888788.1721277,81,0.9156285524368286
1657888847.4719338,82,0.9194856882095337
1657888905.9788187,83,0.9248285889625549
1657888964.2177997,84,0.9274571537971497
1657889022.3879273,85,0.9268571138381958
1657889080.5752552,86,0.9320571422576904
1657889138.7916603,87,0.9366000294685364
1657889196.9321122,88,0.9368000030517578
1657889255.5504687,89,0.9395142793655396
1657889313.773551,90,0.9417428374290466
1657889372.296627,91,0.9444571137428284
1657889430.3890493,92,0.946142852306366
1657889488.4381132,93,0.9518285989761353
1657889546.469694,94,0.9498857259750366
1657889604.5533662,95,0.9530571699142456
1657889663.487012,96,0.9536857008934021
1657889722.433245,97,0.9565428495407104
1657889781.449858,98,0.9590857028961182
1657889840.490658,99,0.9590285420417786
1657889899.7613823,100,0.9633714556694031
1657889958.8335352,101,0.9644857048988342
1657890017.9154382,102,0.9646285772323608
1657890077.1267395,103,0.9664000272750854
